price;kod_tov;art;name
627,820;;ALM244804-1.01;Адаптер вертикальный раздвижной створки ALUMARK 6м Неокрашенный
4864,390;;ALM244805-1.07;Адаптер горизонтальный раздвижной створки 6м ALUMARK Белый RAL9016
2139,610;;ALM244806-1.01;Притвор двери ALUMARK 6м Неокрашенный
2888,780;;ALM244806-1.07;Притвор двери ALUMARK 6м Белый RAL9016
1508,680;;ALM244807-1.01;Адаптер поворотный ALUMARK 6м Неокрашенный
2175,470;;ALM244807-1.07;Адаптер поворотный ALUMARK 6м Белый RAL9016
2818,330;;ALM244808-1.01;Адаптер маятниковой створки ALUMARK 6м Неокрашенный
6920,080;;ALM244808-1.07;Адаптер маятниковой створки ALUMARK 6м Белый RAL9016
4408,800;;ALM244809-1.01;Профиль подцокольный для дверей ALUMARK, 6м неокрашенный
3591,420;;ALM244809-1.07;Профиль подцокольный для дверей ALUMARK, 6м Белый RAL9016
3206,140;;ALM244809-1/9006GL;Профиль подцокольный для дверей ALUMARK, 6м RAL9006
947,470;;ALM244810-1.01;Профиль стыковочный ALUMARK 6м Неокрашенный
289,790;;ALM244811-1.07;Адаптер угла 135 градусов ALUMARK 6м Белый RAL9016
1434,010;;ALM244812-1.01;Крышка торцевая для раздвижных дверей ALUMARK 6м Неокрашенный
3410,700;;ALM244813.01;Профиль подцокольный для дверей ALUMARK 6м Нокрашенный
3255,340;;ALM244813.07;Профиль подцокольный для дверей ALUMARK 6м Белый RAL9016
3168,360;;ALM244813/6018/6.0;Профиль подцокольный для дверей ALUMARK 6м Белый RAL6018
1792,390;;ALM440001-1.01;Профиль вставной 12х40 мм 3м S44 Неокрашенный
3443,360;;ALM440002-1.01;Профиль вставной 12х72мм 3м S44 Неокрашенный
2466,650;;ALM440003-1.01;Профиль вставной 28х40 мм 3м S44 Неокрашенный
234,000;;ELM744803;Компенсатор пластиковый ELEMEITIS 32х20мм термоизолирующий 3м серый
